level,grade_band,residence_area,school,n
MS,,Hamilton,Cascade Parent Partnership,5
MS,,Hamilton,Robert Eagle Staff,5
MS,,Hamilton,Hazel Wolf K-8,4
MS,,Hamilton,Eckstein,3
MS,,Hamilton,McClure,3
MS,,Hamilton,TOPS K-8,3
MS,,Hamilton,Jane Addams MS,2
MS,,Hamilton,Cascade Virtual Option K-12,1
MS,,Hamilton,Catharine Blaine K-8,1
MS,,Hamilton,South Shore PK-8,1
MS,,Hamilton,Washington,1
MS,,Jane Addams,Jane Addams MS,721
MS,,Jane Addams,Hazel Wolf K-8,173
MS,,Jane Addams,Hamilton Intl,35
MS,,Jane Addams,Cascade Parent Partnership,7
MS,,Jane Addams,Eckstein,5
MS,,Jane Addams,Robert Eagle Staff,4
MS,,Jane Addams,TOPS K-8,4
MS,,Jane Addams,David T. Denny Intl,3
MS,,Jane Addams,Broadview-Thomson K-8,2
MS,,Jane Addams,Salmon Bay K-8,2
MS,,Jane Addams,Whitman,2
MS,,Jane Addams,Cascade Virtual Option K-12,1
MS,,Jane Addams,Interagency,1
MS,,Jane Addams,Licton Springs K-8,1
MS,,Jane Addams,Meany,1
MS,,Madison,Madison,965
MS,,Madison,Pathfinder K-8,68
MS,,Madison,STEM K-8,21
MS,,Madison,David T. Denny Intl,19
MS,,Madison,Cascade Virtual Option K-12,8
MS,,Madison,Cascade Parent Partnership,5
MS,,Madison,Meany,2
MS,,Madison,Robert Eagle Staff,1
MS,,Madison,Salmon Bay K-8,1
MS,,Madison,TOPS K-8,1
MS,,McClure,McClure,455
MS,,McClure,Catharine Blaine K-8,164
MS,,McClure,Hamilton Intl,140
MS,,McClure,Salmon Bay K-8,24
MS,,McClure,Cascade Parent Partnership,11
MS,,McClure,Licton Springs K-8,3
MS,,McClure,Whitman,3
MS,,McClure,Robert Eagle Staff,2
MS,,McClure,Aki Kurose,1
MS,,McClure,Cascade Virtual Option K-12,1
MS,,McClure,Hazel Wolf K-8,1
MS,,McClure,Madison,1
MS,,McClure,Meany,1
MS,,McClure,Washington,1
MS,,Meany,Meany,477
MS,,Meany,TOPS K-8,111
MS,,Meany,Washington,36
MS,,Meany,Hamilton Intl,13
MS,,Meany,Cascade Parent Partnership,10
MS,,Meany,McClure,5
MS,,Meany,Mercer Intl,5
MS,,Meany,Jane Addams MS,4
MS,,Meany,Salmon Bay K-8,4
MS,,Meany,Aki Kurose,2
MS,,Meany,Eckstein,2
MS,,Meany,Hazel Wolf K-8,2
MS,,Meany,Orca K-8,2
MS,,Meany,Cascade Virtual Option K-12,1
MS,,Meany,David T. Denny Intl,1
MS,,Meany,Licton Springs K-8,1
MS,,Meany,Madison,1
MS,,Meany,South Shore PK-8,1
MS,,Meany,STEM K-8,1
MS,,Mercer Intl,Mercer Intl,643
MS,,Mercer Intl,Washington,12
MS,,Mercer Intl,Aki Kurose,11
MS,,Mercer Intl,South Shore PK-8,9
MS,,Mercer Intl,TOPS K-8,9
MS,,Mercer Intl,Cascade Virtual Option K-12,5
MS,,Mercer Intl,Orca K-8,5
MS,,Mercer Intl,Madison,3
MS,,Mercer Intl,Meany,1
MS,,Mercer Intl,Pathfinder K-8,1
MS,,Robert Eagle Staff,Robert Eagle Staff,588
MS,,Robert Eagle Staff,Broadview-Thomson K-8,96
MS,,Robert Eagle Staff,Hamilton Intl,30
MS,,Robert Eagle Staff,Hazel Wolf K-8,30
MS,,Robert Eagle Staff,Salmon Bay K-8,23
MS,,Robert Eagle Staff,Whitman,8
MS,,Robert Eagle Staff,Cascade Virtual Option K-12,7
MS,,Robert Eagle Staff,Cascade Parent Partnership,5
MS,,Robert Eagle Staff,TOPS K-8,5
MS,,Robert Eagle Staff,Eckstein,4
MS,,Robert Eagle Staff,Licton Springs K-8,4
MS,,Robert Eagle Staff,David T. Denny Intl,2
MS,,Robert Eagle Staff,Jane Addams MS,2
MS,,Robert Eagle Staff,McClure,2
MS,,Washington,Washington,476
MS,,Washington,Mercer Intl,59
MS,,Washington,Orca K-8,26
MS,,Washington,TOPS K-8,23
MS,,Washington,Aki Kurose,14
MS,,Washington,Meany,14
MS,,Washington,Cascade Virtual Option K-12,6
MS,,Washington,Pathfinder K-8,4
MS,,Washington,South Shore PK-8,3
MS,,Washington,Cascade Parent Partnership,2
MS,,Washington,Madison,2
MS,,Washington,McClure,2
MS,,Washington,STEM K-8,2
MS,,Washington,Catharine Blaine K-8,1
MS,,Washington,David T. Denny Intl,1
MS,,Washington,Jane Addams MS,1
MS,,Whitman,Whitman,621
MS,,Whitman,Salmon Bay K-8,220
MS,,Whitman,Robert Eagle Staff,120
MS,,Whitman,Hamilton Intl,20
MS,,Whitman,Licton Springs K-8,10
MS,,Whitman,Broadview-Thomson K-8,7
MS,,Whitman,Cascade Parent Partnership,3
MS,,Whitman,Hazel Wolf K-8,3
MS,,Whitman,McClure,3
MS,,Whitman,Cascade Virtual Option K-12,2
MS,,Whitman,TOPS K-8,1
HS,,Ballard,Ballard,1645
HS,,Ballard,Lincoln,122
HS,,Ballard,Ingraham,39
HS,,Ballard,Center School,27
HS,,Ballard,Nova,19
HS,,Ballard,Interagency,12
HS,,Ballard,Bridges,11
HS,,Ballard,Cascade Virtual Option K-12,11
HS,,Ballard,Middle College,5
HS,,Ballard,Roosevelt,5
HS,,Ballard,Nathan Hale,4
HS,,Ballard,Franklin,1
HS,,Ballard,Garfield,1
HS,,Ballard,Rainier Beach,1
HS,,Ballard,Seattle World School,1
HS,,Chief Sealth Intl,Chief Sealth Intl,996
HS,,Chief Sealth Intl,West Seattle HS,56
HS,,Chief Sealth Intl,Interagency,45
HS,,Chief Sealth Intl,Nova,26
HS,,Chief Sealth Intl,Cleveland STEM,24
HS,,Chief Sealth Intl,Cascade Virtual Option K-12,19
HS,,Chief Sealth Intl,Center School,19
HS,,Chief Sealth Intl,Bridges,15
HS,,Chief Sealth Intl,Seattle World School,9
HS,,Chief Sealth Intl,Alan T. Sugiyama,4
HS,,Chief Sealth Intl,Garfield,2
HS,,Chief Sealth Intl,Lincoln,2
HS,,Chief Sealth Intl,Middle College,2
HS,,Chief Sealth Intl,Roosevelt,2
HS,,Chief Sealth Intl,Ingraham,1
HS,,Chief Sealth Intl,Rainier Beach,1
HS,,Franklin,Franklin,1129
HS,,Franklin,Cleveland STEM,464
HS,,Franklin,Garfield,121
HS,,Franklin,Seattle World School,64
HS,,Franklin,Interagency,38
HS,,Franklin,Nova,38
HS,,Franklin,Rainier Beach,23
HS,,Franklin,Cascade Virtual Option K-12,22
HS,,Franklin,Bridges,11
HS,,Franklin,Middle College,11
HS,,Franklin,Center School,9
HS,,Franklin,Alan T. Sugiyama,6
HS,,Franklin,Lincoln,5
HS,,Franklin,Roosevelt,3
HS,,Franklin,Chief Sealth Intl,2
HS,,Franklin,Nathan Hale,2
HS,,Franklin,West Seattle HS,2
HS,,Garfield,Garfield,1223
HS,,Garfield,Nova,57
HS,,Garfield,Seattle World School,36
HS,,Garfield,Interagency,32
HS,,Garfield,Cascade Virtual Option K-12,23
HS,,Garfield,Cleveland STEM,17
HS,,Garfield,Middle College,17
HS,,Garfield,Center School,11
HS,,Garfield,Franklin,10
HS,,Garfield,Lincoln,10
HS,,Garfield,Bridges,7
HS,,Garfield,Roosevelt,6
HS,,Garfield,Rainier Beach,5
HS,,Garfield,Alan T. Sugiyama,4
HS,,Garfield,Ingraham,4
HS,,Garfield,Nathan Hale,4
HS,,Garfield,Chief Sealth Intl,3
HS,,Garfield,West Seattle HS,3
HS,,Garfield,Ballard,2
HS,,Ingraham,Ingraham,1206
HS,,Ingraham,Lincoln,59
HS,,Ingraham,Center School,22
HS,,Ingraham,Ballard,20
HS,,Ingraham,Interagency,20
HS,,Ingraham,Nathan Hale,20
HS,,Ingraham,Bridges,17
HS,,Ingraham,Nova,16
HS,,Ingraham,Cascade Virtual Option K-12,15
HS,,Ingraham,Middle College,11
HS,,Ingraham,Seattle World School,11
HS,,Ingraham,Roosevelt,5
HS,,Ingraham,Rainier Beach,2
HS,,Ingraham,Chief Sealth Intl,1
HS,,Ingraham,Cleveland STEM,1
HS,,Lincoln,Lincoln,1215
HS,,Lincoln,Center School,19
HS,,Lincoln,Seattle World School,19
HS,,Lincoln,Ballard,15
HS,,Lincoln,Ingraham,12
HS,,Lincoln,Roosevelt,10
HS,,Lincoln,Middle College,9
HS,,Lincoln,Nova,8
HS,,Lincoln,Cascade Virtual Option K-12,7
HS,,Lincoln,Interagency,6
HS,,Lincoln,Bridges,5
HS,,Lincoln,Garfield,3
HS,,Lincoln,Nathan Hale,2
HS,,Lincoln,Alan T. Sugiyama,1
HS,,Lincoln,Cleveland STEM,1
HS,,Lincoln,Rainier Beach,1
HS,,Nathan Hale,Nathan Hale,926
HS,,Nathan Hale,Lincoln,135
HS,,Nathan Hale,Ingraham,61
HS,,Nathan Hale,Roosevelt,24
HS,,Nathan Hale,Interagency,23
HS,,Nathan Hale,Seattle World School,17
HS,,Nathan Hale,Middle College,14
HS,,Nathan Hale,Cascade Virtual Option K-12,13
HS,,Nathan Hale,Center School,13
HS,,Nathan Hale,Nova,12
HS,,Nathan Hale,Bridges,8
HS,,Nathan Hale,Franklin,1
HS,,Nathan Hale,Garfield,1
HS,,Rainier Beach,Rainier Beach,728
HS,,Rainier Beach,Cleveland STEM,241
HS,,Rainier Beach,Garfield,65
HS,,Rainier Beach,Seattle World School,40
HS,,Rainier Beach,Franklin,37
HS,,Rainier Beach,Nova,27
HS,,Rainier Beach,Alan T. Sugiyama,21
HS,,Rainier Beach,Interagency,18
HS,,Rainier Beach,Bridges,17
HS,,Rainier Beach,Cascade Virtual Option K-12,12
HS,,Rainier Beach,Middle College,10
HS,,Rainier Beach,Center School,6
HS,,Rainier Beach,Roosevelt,3
HS,,Rainier Beach,Lincoln,2
HS,,Rainier Beach,Chief Sealth Intl,1
HS,,Roosevelt,Roosevelt,1472
HS,,Roosevelt,Lincoln,196
HS,,Roosevelt,Nathan Hale,35
HS,,Roosevelt,Nova,23
HS,,Roosevelt,Bridges,10
HS,,Roosevelt,Ingraham,10
HS,,Roosevelt,Interagency,10
HS,,Roosevelt,Cascade Virtual Option K-12,7
HS,,Roosevelt,Middle College,7
HS,,Roosevelt,Seattle World School,7
HS,,Roosevelt,Center School,6
HS,,Roosevelt,Alan T. Sugiyama,2
HS,,Roosevelt,Franklin,1
HS,,West Seattle,West Seattle HS,1383
HS,,West Seattle,Chief Sealth Intl,44
HS,,West Seattle,Nova,24
HS,,West Seattle,Interagency,16
HS,,West Seattle,Center School,13
HS,,West Seattle,Cleveland STEM,13
HS,,West Seattle,Seattle World School,8
HS,,West Seattle,Bridges,7
HS,,West Seattle,Cascade Virtual Option K-12,5
HS,,West Seattle,Middle College,4
HS,,West Seattle,Garfield,2
HS,,West Seattle,Alan T. Sugiyama,1
HS,,West Seattle,Lincoln,1
