draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,scale
0,1.0,5.1138717576687815,0.2157062636485818,0.34295238242726367,6.232734394803267,-0.30233223370854606,0.95,1.0176783962846585,0.9004243532374319
1,1.0,5.0097479295929634,0.2780941294573395,0.2812178027663004,6.287044257094283,-0.2615568413063843,0.95,1.012897252982596,0.9095355187886863
2,1.0,3.838217311177687,0.07879436376343524,0.36974372879673906,6.1069989867533945,-0.2867797104459581,0.95,1.0101781869687052,1.0019205871135317
3,1.0,4.870946231875934,0.08852346110255178,0.3627340015716826,5.248192538294925,-0.23232128291281723,0.95,1.011940890645721,0.9121888928892342
4,1.0,4.950250278161796,0.1256113720460211,0.28466003097531245,4.787331644980965,-0.356489835197222,0.95,1.0108573759570516,0.9078737782701551
5,1.0,4.48394268039003,0.23194855555891772,0.302645462567388,7.949552052553276,-0.4343934228129567,0.95,1.0118078575790945,0.952687538533755
6,1.0,4.795029045910818,0.1443004917061051,0.3675437723195022,7.289475286776034,-0.313958801108797,0.95,1.0153281478282663,0.9252546800810176
7,1.0,3.5983703740537782,0.09780940128380615,0.35401179931545024,6.495741202714443,-0.3949760655287229,0.95,1.0018712820641915,1.0336085160369435
8,1.0,5.242107379662705,0.3212687240009527,0.38023521677635913,5.464594318662126,-0.258365177872801,0.95,1.0095049308902788,0.8907892623223419
9,1.0,4.829568475174141,0.2556316723310093,0.42790877827110624,6.418928216506408,-0.33692588076430985,0.95,1.0120091307826167,0.9177335357780695
10,1.0,5.083303040010662,0.10906627349564799,0.2910754715427772,5.7369768663794645,-0.33827616066534105,0.95,1.0145152316262909,0.9009177109308149
11,1.0,5.513930379277837,0.23199193790806016,0.3713309736500453,6.982669614714427,-0.29484529159726214,0.95,1.0167416749170008,0.8835536888749754
12,1.0,4.379906205938001,0.24770268560783618,0.46051505254481556,6.317371665304215,-0.25755940696205876,0.95,1.0098530013218778,0.956061903010971
13,1.0,4.370081152480555,0.23343216285932747,0.2673076157389422,3.992838047113787,-0.3363594220701165,0.95,1.0088393628850258,0.9467548818996327
14,1.0,3.5289877330163915,0.14826216416475968,0.2288674862841544,4.654509205857656,-0.30619100492110773,0.95,1.0130362383539953,1.0322635299926726
15,1.0,5.142789236533066,0.18809602584963378,0.2822203996581918,6.270038174508689,-0.35898420828304706,0.95,1.0168982073281247,0.8996881827639114
16,1.0,6.281102147251295,0.18317344987029943,0.3385397218449672,6.057224623957857,-0.29601276801218096,0.95,1.0130487728398843,0.8540972603808762
17,1.0,4.93367238936422,0.1402220106074277,0.30220842232333484,5.21015372052121,-0.29495253796495535,0.95,1.015278160575589,0.9089841016510335
18,1.0,4.88195203551948,0.12765784924659138,0.34733970071406006,3.1436184026350316,-0.20010503453738882,0.95,1.0180035894348132,0.9154087048340063
19,1.0,5.343562804526806,0.16866873052193096,0.4344763461551027,7.846821119999319,-0.23881498479923768,0.95,1.0031161513028608,0.8911310969635877
20,1.0,4.07568781293074,0.22465734656881056,0.387286298663943,4.428889965862168,-0.30044583440675343,0.95,1.0099198889051886,0.9813432519593315
21,1.0,4.029007732957442,0.2290208945423189,0.49184573183684493,7.499564080083695,-0.44992673148403395,0.95,1.0154320509980106,0.9885850505925265
22,1.0,4.702268143267615,0.2069803004157144,0.4196405036708943,4.4131338608426685,-0.22806972641661072,0.95,1.0135844299318826,0.9247174973837696
23,1.0,4.080436769461126,0.2564477773655744,0.43548059188542465,5.038043737756485,-0.26771179492436065,0.95,1.0020750115110204,0.9742757883019445
24,1.0,4.878601222566084,0.2624771127364304,0.3662580501251769,5.8842241222254685,-0.3970856896462342,0.95,1.0153621057213786,0.9190064174235166
25,1.0,3.6674682401007415,0.1533806946621368,0.32711710850018866,6.396896522807034,-0.2734544093040732,0.95,1.0145285691216335,1.0268117022632166
26,1.0,5.425195592305975,0.23348449640997734,0.3843628730443033,5.2954293182235315,-0.3674565685941979,0.95,1.0124013345298013,0.8808952076607569
27,1.0,3.721106223944134,0.15870011083619157,0.4197747499466469,6.200462020249026,-0.37067473242372734,0.95,1.0084371401569951,1.0237297582219298
28,1.0,4.038264955410799,0.16331065174488577,0.435520180293431,7.317218286496288,-0.26005925941799946,0.95,1.0093395037337005,0.9858066268858651
29,1.0,5.526476792831292,0.07529376088947805,0.3828969386810063,6.861702775254323,-0.31100587577434613,0.95,1.0093563200184812,0.8802219962651016
30,1.0,3.788021733119765,0.14489475685760103,0.3441805175252191,6.792474765318814,-0.3501426253228309,0.95,1.0081908462855693,1.0086405030035246
31,1.0,4.394264910795208,0.12933530663471576,0.35441544108349077,6.173645691508968,-0.34992962551239615,0.95,1.0178958433919154,0.9509728315044678
32,1.0,3.616812741768693,0.1806475502048731,0.5726169613214651,5.574058202525646,-0.24943395498463977,0.95,1.0188435786172567,1.023886567464817
33,1.0,4.116627512765883,0.2110520140280896,0.39955108426072306,5.805739872037835,-0.30334250409305724,0.95,1.0063010611030665,0.9763322284182606
34,1.0,5.918607809096664,0.1726062728325232,0.34448536668390384,6.2647959015043,-0.3474245878548118,0.95,1.0125000498927004,0.8662189347703046
35,1.0,5.356599050950379,0.15578267035272317,0.41603813739584367,8.49206705588865,-0.2491831001747231,0.95,1.013167970985765,0.8962842358243324
36,1.0,6.392791282416265,0.19516278703691486,0.33279378431176027,7.975998260172412,-0.2588715957631519,0.95,1.015349947360807,0.8497015547230383
37,1.0,4.663771071028586,0.17837259400475955,0.3728941438953111,5.259575827564874,-0.32137023438146567,0.95,1.0080007100770887,0.9299444409909514
38,1.0,5.231644023375838,0.12177780158461775,0.3254907458854578,5.80209253585753,-0.3309548645068248,0.95,1.0157160682706052,0.8931112367122263
39,1.0,5.668458933203449,0.2255249619170464,0.3679532797180839,4.673890664283014,-0.37194419881813434,0.95,1.015068720228374,0.8747713470317998
40,1.0,4.164616711447996,0.2361503472031806,0.41923367851339594,7.136406158083911,-0.30443465157409616,0.95,1.0212252971478915,0.9666868962225178
41,1.0,4.525821650338548,0.1907643351658583,0.25882227017439013,4.598818816355684,-0.2948830519673805,0.95,1.0120795818141115,0.9357972556840314
42,1.0,5.013022253837357,0.21028771492648593,0.44246475475113434,6.440279390660116,-0.4004526907834448,0.95,1.006680571426848,0.9059551946313547
43,1.0,2.6601220999656805,0.1672534806126193,0.4020073297193329,5.4548611376949845,-0.181886474318073,0.95,1.013190394349899,1.1899976347452985
44,1.0,5.758433843256353,0.24874460123169287,0.3373837358094723,6.657431466567664,-0.21840447414967604,0.95,1.0155516662222328,0.8734788150885416
45,1.0,4.171836759857791,0.1925415445807079,0.43202289128950994,6.660001078029117,-0.3274147321895638,0.95,1.0066467441240483,0.9720219421792635
46,1.0,5.136026191410667,0.19178934444881873,0.2593797726847616,6.485395621100386,-0.2125111247384114,0.95,1.0089524444967268,0.9037605353107091
47,1.0,3.5040755447680896,0.2077992456938413,0.2764736210060478,5.505915812762768,-0.23551594739957404,0.95,1.0159029249121154,1.0433953141311458
48,1.0,4.7930713137035434,0.2171768737791324,0.38791015896088693,6.47376729491609,-0.37731585449430105,0.95,1.0141273794308205,0.9244148208415777
